Fiscal Year,city,state,zip,type,industry,workState,wage,occupation
2024,JERICHO,NY,11753.0,h1,,,,
2024,FORT MILL,SC,29708.0,h1,,,,
2024,LEWISVILLE,TX,75067.0,h1,,,,
2024,AUBURN,AL,36832.0,h1,,,,
2024,NOVATO,CA,94949.0,h1,,,,
2024,CHARLOTTE,NC,28262.0,h1,,,,
2024,PISCATAWAY,NJ,8854.0,h1,,,,
2024,LEWIS CENTER,OH,43035.0,h1,,,,
2024,MEMPHIS,TN,38132.0,h1,,,,
2024,ISELIN,NJ,8830.0,h1,,,,
2024,GAITHERSBURG,MD,20878.0,h1,,,,
2024,ROCK HILL,SC,29730.0,h1,,,,
2024,DUNCANVILLE,TX,75116.0,h1,,,,
2024,EDISON,NJ,8837.0,h1,,,,
2024,MILPITAS,CA,95035.0,h1,,,,
2024,SIMI VALLEY,CA,93063.0,h1,,,,
2024,ST PAUL,MN,55144.0,h1,,,,
2024,MAPLEWOOD,MN,55144.0,h1,,,,
2024,MAPLEWOOD,MN,55144.0,h1,,,,
2024,SANTA CLARA,CA,95054.0,h1,,,,
2024,CANTON,MI,48187.0,h1,,,,
2024,CYPRESS,TX,77433.0,h1,,,,
2024,MIDLAND,TX,79705.0,h1,,,,
2024,WIXOM,MI,48393.0,h1,,,,
2024,MCKINNEY,TX,75070.0,h1,,,,
2024,EMERYVILLE,CA,94608.0,h1,,,,
2024,FLINT TWP,MI,48507.0,h1,,,,
2024,ONTARIO,CA,91761.0,h1,,,,
2024,PISCATAWAY,NJ,8854.0,h1,,,,
2024,SAN FRANCISCO,CA,94105.0,h1,,,,
2024,IRVING,TX,75063.0,h1,,,,
2024,CUPERTINO,CA,95014.0,h1,,,,
2024,DURHAM,NC,27701.0,h1,,,,
2024,PLANO,TX,75074.0,h1,,,,
2024,COLUMBIA,MD,21045.0,h1,,,,
2024,FARMINGTON,MI,48335.0,h1,,,,
2024,NEW YORK,NY,10013.0,h1,,,,
2024,BELLEVUE,WA,98004.0,h1,,,,
2024,CHARLOTTE,NC,28217.0,h1,,,,
2024,SOMERSWORTH,NH,3878.0,h1,,,,
2024,BURLINGTON,MA,1803.0,h1,,,,
2024,PLEASANTON,CA,94588.0,h1,,,,
2024,NEW YORK,NY,10017.0,h1,,,,
2024,MCLEAN,VA,22102.0,h1,,,,
2024,SUNNYVALE,CA,94086.0,h1,,,,
2024,CAMPBELL,CA,95008.0,h1,,,,
2024,CAMBRIDGE,MA,2139.0,h1,,,,
2024,WALTHAM,MA,2451.0,h1,,,,
2024,TROY,MI,48098.0,h1,,,,
2024,TULSA,OK,74120.0,h1,,,,
2024,TROY,MI,48084.0,h1,,,,
2024,IRVINE,CA,92618.0,h1,,,,
2024,ZEPHYR COVE,NV,89448.0,h1,,,,
2024,LOS ANGELES,CA,90018.0,h1,,,,
2024,BELLEVUE,WA,98006.0,h1,,,,
2024,NEWPORT BEACH,CA,92660.0,h1,,,,
2024,HONOLULU,HI,96813.0,h1,,,,
2024,HOUSTON,TX,77029.0,h1,,,,
2024,LEWISVILLE,TX,75057.0,h1,,,,
2024,VANCOUVER,WA,98683.0,h1,,,,
2024,VANCOUVER,WA,98683.0,h1,,,,
2024,SPRINGBORO,OH,45066.0,h1,,,,
2024,CHICAGO,IL,60606.0,h1,,,,
2024,KIRKSVILLE,MO,63501.0,h1,,,,
2024,CUMMING,GA,30041.0,h1,,,,
2024,TUCKER,GA,30084.0,h1,,,,
2024,ELGIN,IL,60123.0,h1,,,,
2024,BOSTON,MA,2130.0,h1,,,,
2024,LONG ISLAND CITY,NY,11101.0,h1,,,,
2024,ARLINGTON,VA,22202.0,h1,,,,
2024,SAN JOSE,CA,95131.0,h1,,,,
2024,ALPHARETTA,GA,30004.0,h1,,,,
2024,SAN JOSE,CA,95131.0,h1,,,,
2024,DALLAS,TX,75247.0,h1,,,,
2024,IRVING,TX,75039.0,h1,,,,
2024,DECATUR,GA,30030.0,h1,,,,
2024,ORLANDO,FL,32824.0,h1,,,,
2024,THE WOODLANDS,TX,77380.0,h1,,,,
2024,SUGAR LAND,TX,77479.0,h1,,,,
2024,PARKER,CO,80134.0,h1,,,,
2024,LEESBURG,VA,20176.0,h1,,,,
2024,FAIRFIELD,NJ,7004.0,h1,,,,
2024,CHARLOTTE,NC,28262.0,h1,,,,
2024,NORTHBOROUGH,MA,1532.0,h1,,,,
2024,MONROE,NC,28110.0,h1,,,,
2024,LOUISVILLE,KY,40228.0,h1,,,,
2024,ISELIN,NJ,8830.0,h1,,,,
2024,CHICAGO,IL,60601.0,h1,,,,
2024,LYNNWOOD,WA,98036.0,h1,,,,
2024,HERNDON,VA,20171.0,h1,,,,
2024,PLANO,TX,75024.0,h1,,,,
2024,WASHINGTON,DC,20049.0,h1,,,,
2024,ISELIN,NJ,8830.0,h1,,,,
2024,DALLAS,TX,75240.0,h1,,,,
2024,FRAMINGHAM,MA,1701.0,h1,,,,
2024,IRVING,TX,75039.0,h1,,,,
2024,RESTON,VA,20190.0,h1,,,,
2024,SAN FRANCISCO,CA,94105.0,h1,,,,
2024,GREAT NECK,NY,11021.0,h1,,,,
2024,BUFFALO GROVE,IL,60089.0,h1,,,,
2024,HAMILTON,NJ,8619.0,h1,,,,
2024,BAYONNE,NJ,7002.0,h1,,,,
2024,CARY,NC,27511.0,h1,,,,
2024,CARY,NC,27511.0,h1,,,,
2024,MEMPHIS,TN,38120.0,h1,,,,
2024,CHICAGO,IL,60606.0,h1,,,,
2024,SEATTLE,WA,98134.0,h1,,,,
2024,CHICAGO,IL,60606.0,h1,,,,
2024,CHICAGO,IL,60606.0,h1,,,,
2024,CHICAGO,IL,60606.0,h1,,,,
2024,ABBOTT PARK,IL,60064.0,h1,,,,
